song_name,danceability,energy,loudness,popularity,liked
Deep House Groove,0.8,0.7,-5.0,70,1
Feel the Beat,0.9,0.8,-4.5,75,1
Night Drive,0.6,0.6,-4.8,65,0
Dance Floor Anthem,0.85,0.9,-3.9,80,1
Sunset Vibes,0.7,0.7,-5.1,72,0
Club Banger,0.9,0.95,-3.2,85,1
House Party,0.75,0.8,-4.3,68,0
Electronic Dreams,0.8,0.85,-4.1,77,1
Rave Energy,0.95,0.95,-3.5,82,1
Bassline Drop,0.8,0.75,-4.7,73,0
Good Vibes Only,0.85,0.8,-4.0,78,1
Late Night Groove,0.7,0.65,-5.2,69,0
Electric Dance,0.9,0.85,-3.8,80,1
Funky House Beats,0.8,0.7,-4.4,70,1
Summer Jam,0.75,0.75,-5.0,72,0
Beat Dropper,0.9,0.9,-3.3,81,1
After Party,0.8,0.85,-4.2,75,1
City Lights,0.7,0.7,-5.1,68,0
Into the Night,0.85,0.8,-4.6,76,1
Vibe With Me,0.9,0.9,-3.0,84,1
